England and Wales Code,England and Wales,Household size (9 categories) Code,Household size (9 categories),Observation
K04000001,England and Wales,0,0 people in household,0
K04000001,England and Wales,1,1 person in household,7481788
K04000001,England and Wales,2,2 people in household,8451403
K04000001,England and Wales,3,3 people in household,3955168
K04000001,England and Wales,4,4 people in household,3182251
K04000001,England and Wales,5,5 people in household,1112752
K04000001,England and Wales,6,6 people in household,373957
K04000001,England and Wales,7,7 people in household,130727
K04000001,England and Wales,8,8 or more people in household,95153
